,chatgpt-4o-latest / gpt-5,chatgpt-4o-latest / gpt-5.2-pro,chatgpt-4o-latest / gpt-5.1-chat-latest,chatgpt-4o-latest / gpt-5.2-chat-latest,chatgpt-4o-latest / gpt-5-mini,chatgpt-4o-latest / gpt-5-nano,gpt-5 / gpt-5.2-pro,gpt-5 / gpt-5.1-chat-latest,gpt-5 / gpt-5.2-chat-latest,gpt-5 / gpt-5-mini,gpt-5 / gpt-5-nano,gpt-5.2-pro / gpt-5.1-chat-latest,gpt-5.2-pro / gpt-5.2-chat-latest,gpt-5.2-pro / gpt-5-mini,gpt-5.2-pro / gpt-5-nano,gpt-5.1-chat-latest / gpt-5.2-chat-latest,gpt-5.1-chat-latest / gpt-5-mini,gpt-5.1-chat-latest / gpt-5-nano,gpt-5.2-chat-latest / gpt-5-mini,gpt-5.2-chat-latest / gpt-5-nano,gpt-5-mini / gpt-5-nano,min,max,1ÇÃå¬êî
1433,1,0.807766244,1,1,1,0.980776624,0.034986544,0.923106498,0.923106498,0.976931949,0.788542868,0.976931949,0.976931949,0.980776624,0.803921569,0,0.807381776,0.034986544,0.807381776,0.034986544,0.803921569,0,1,4
1434,0,0,0,0,0,0.807381776,0,0,0,0,0.807381776,0,0,0,0.807381776,0,0,0.807381776,0,0.807381776,0.807381776,0,0.807381776,0
1435,0.000384468,0.000384468,0,0.615532488,0,0.034986544,0.000384468,0.000384468,0.61514802,0.000384468,0.038831219,0.000384468,0.615532488,0.000384468,0.038831219,0.615532488,0,0.034986544,0.615532488,0.807766244,0.034986544,0,0.807766244,0
1436,0.000384468,0.000384468,0,0,0,0.807766244,0.000384468,0.000384468,0.000384468,0.000384468,0.807381776,0.000384468,0.000384468,0.000384468,0.807766244,0,0,0.807766244,0,0.807766244,0.807766244,0,0.807766244,0
1437,0.000384468,0.034986544,0.000384468,0.000384468,0.000384468,0.615532488,0.031141869,0.000384468,0,0,0.615532488,0.034986544,0.031141869,0.031141869,0.788542868,0.000384468,0.000384468,0.615532488,0,0.615532488,0.615532488,0,0.788542868,0
1439,0.784698193,0.923106498,0,0.923106498,0.784698193,0.942329873,0.031141869,0.784698193,0.031141869,0,0.034986544,0.923106498,0,0.031141869,0.000384468,0.923106498,0.784698193,0.942329873,0.031141869,0.000384468,0.034986544,0,0.942329873,0
1440,0.961553249,1,0.788542868,1,0.615532488,0.980776624,0.034986544,0.615532488,0.034986544,0.807766244,0.038831219,0.807766244,1.11E-16,0.999615532,0.038831219,0.807766244,0.034986544,0.807381776,0.999615532,0.038831219,0.996155325,1.11E-16,1,2
1441,0,0.000384468,0,0.000384468,0.038446751,0.807766244,0.000384468,0,0.000384468,0.038446751,0.807766244,0.000384468,0.000384468,0.034986544,0.807766244,0.000384468,0.038446751,0.807766244,0.038831219,0.807381776,0.807766244,0,0.807766244,0
1442,0.000384468,0.038831219,0.000384468,0.000384468,0.034986544,0.807766244,0.038831219,0.000384468,0.000384468,0.034986544,0.807766244,0.038831219,0.038831219,0.038831219,0.615532488,0,0.034986544,0.807766244,0.034986544,0.807766244,0.807766244,0,0.807766244,0
1443,0.031141869,0.034986544,0.000384468,0.034986544,0.980776624,0.788542868,0.000384468,0.034986544,0.000384468,0.807766244,0.961553249,0.038446751,0,0.807766244,0.980776624,0.038446751,1,0.788542868,0.807766244,0.980776624,1,0,1,1
1444,0.807381776,0.807766244,0.807766244,0.807381776,0.034986544,0.999615532,0.038831219,0.000384468,0,0.99231065,0.807381776,0.038446751,0.038831219,1,0.996155325,0.000384468,0.996155325,0.803921569,0.99231065,0.807381776,0.976931949,0,1,1
1445,0.788542868,0.034986544,0.034986544,0.784698193,0.031141869,0.807381776,0.615532488,0.615532488,0.000384468,0.615532488,0.942329873,0.000384468,0.615532488,0.000384468,0.803921569,0.615532488,0.000384468,0.803921569,0.61514802,0.942329873,0.803921569,0.000384468,0.942329873,0
